amenity,geometry,name
restaurant,POINT (11.6089375 44.4330379),Sun Fashion Restaurant
restaurant,POINT (11.6094632 44.4340419),Locanda Dell'Agnese
fast_food,POINT (11.5988236 44.4277854),Old Wild West
bar,POINT (11.6086381 44.4345874),Ca' Puccino
restaurant,POINT (11.6080136 44.4317228),Old Wild West
restaurant,POINT (11.5995124 44.4294129),Sarni ADS Sillaro Est
restaurant,POINT (11.6089375 44.4330379),Sun Fashion Restaurant
restaurant,POINT (11.6094632 44.4340419),Locanda Dell'Agnese
fast_food,POINT (11.5988236 44.4277854),Old Wild West
bar,POINT (11.6086381 44.4345874),Ca' Puccino
restaurant,POINT (11.6080136 44.4317228),Old Wild West
restaurant,POINT (11.5995124 44.4294129),Sarni ADS Sillaro Est
restaurant,POINT (11.6089375 44.4330379),Sun Fashion Restaurant
restaurant,POINT (11.6094632 44.4340419),Locanda Dell'Agnese
fast_food,POINT (11.5988236 44.4277854),Old Wild West
cafe,POINT (14.1305995 42.5335707),Martina Cafè
restaurant,POINT (14.1252341 42.5314702),Autogrill
cafe,POINT (14.1335299 42.5355879),Mama art café
post_office,POINT (14.1320976 42.5388958),Poste Italiane
restaurant,POINT (14.1319937 42.5323389),Ristorante da Giuliano
cafe,POINT (14.1323173 42.538814),Caffè Atene
post_office,POINT (11.7685797 43.4035478),
bar,POINT (11.7683466 43.4085286),Le Fate Ignoranti
cafe,POINT (11.766997 43.407241),
restaurant,POINT (11.762394 43.4078049),Autogrill
restaurant,POINT (11.7635829 43.4051991),Autogrill
post_office,POINT (11.7685797 43.4035478),
bar,POINT (11.7683466 43.4085286),Le Fate Ignoranti
cafe,POINT (11.766997 43.407241),
restaurant,POINT (11.762394 43.4078049),Autogrill
restaurant,POINT (11.7635829 43.4051991),Autogrill
post_office,POINT (11.7685797 43.4035478),
bar,POINT (11.7683466 43.4085286),Le Fate Ignoranti
cafe,POINT (11.766997 43.407241),
restaurant,POINT (11.762394 43.4078049),Autogrill
restaurant,POINT (11.7635829 43.4051991),Autogrill
post_office,POINT (11.7685797 43.4035478),
bar,POINT (11.7683466 43.4085286),Le Fate Ignoranti
cafe,POINT (11.766997 43.407241),
restaurant,POINT (11.762394 43.4078049),Autogrill
restaurant,POINT (11.7635829 43.4051991),Autogrill
post_office,POINT (11.7685797 43.4035478),
bar,POINT (11.7683466 43.4085286),Le Fate Ignoranti
cafe,POINT (11.766997 43.407241),
restaurant,POINT (11.762394 43.4078049),Autogrill
restaurant,POINT (11.7635829 43.4051991),Autogrill
bar,POINT (11.4202397 44.6215319),
cafe,POINT (11.4189805 44.6222349),
fast_food,POINT (12.6189369 43.9940903),
fast_food,POINT (12.6193675 43.9951735),
fast_food,POINT (12.626786 43.9956746),Pizza mania 3
cafe,POINT (12.6269358 43.9960418),Caffè Veneto
fast_food,POINT (12.618065 43.9921988),
cafe,POINT (12.6163928 43.9909909),Zanni
cafe,POINT (12.6225507 43.9913151),CH4 Cafè
bar,POINT (11.6086381 44.4345874),Ca' Puccino
restaurant,POINT (11.6080136 44.4317228),Old Wild West
restaurant,POINT (11.5995124 44.4294129),Sarni ADS Sillaro Est
restaurant,POINT (11.6089375 44.4330379),Sun Fashion Restaurant
fast_food,POINT (11.5988236 44.4277854),Old Wild West
bar,POINT (11.6086381 44.4345874),Ca' Puccino
restaurant,POINT (11.6080136 44.4317228),Old Wild West
restaurant,POINT (11.5995124 44.4294129),Sarni ADS Sillaro Est
restaurant,POINT (11.6089375 44.4330379),Sun Fashion Restaurant
fast_food,POINT (11.5988236 44.4277854),Old Wild West
bar,POINT (11.6086381 44.4345874),Ca' Puccino
restaurant,POINT (11.6080136 44.4317228),Old Wild West
restaurant,POINT (11.5995124 44.4294129),Sarni ADS Sillaro Est
restaurant,POINT (11.6089375 44.4330379),Sun Fashion Restaurant
fast_food,POINT (11.5988236 44.4277854),Old Wild West
cafe,POINT (14.1305995 42.5335707),Martina Cafè
restaurant,POINT (14.1252341 42.5314702),Autogrill
cafe,POINT (14.1335299 42.5355879),Mama art café
post_office,POINT (14.1320976 42.5388958),Poste Italiane
restaurant,POINT (14.1319937 42.5323389),Ristorante da Giuliano
cafe,POINT (14.1323173 42.538814),Caffè Atene
cafe,POINT (14.1305995 42.5335707),Martina Cafè
restaurant,POINT (14.1252341 42.5314702),Autogrill
cafe,POINT (14.1335299 42.5355879),Mama art café
post_office,POINT (14.1320976 42.5388958),Poste Italiane
restaurant,POINT (14.1319937 42.5323389),Ristorante da Giuliano
cafe,POINT (14.1323173 42.538814),Caffè Atene
restaurant,POINT (12.3083378 45.6070771),Agriturismo Porcaloca
restaurant,POINT (12.2969875 45.6077838),Autogrill
