outletId,chargerId,position,type,physicalPosition,cableLength,producer,errorCode,hycErrorCode,status,text,updateTime,isPrivate
121871,13448,2,CCS2_400,4.0,500,Amphenol,NoError,NoError,Available,No Error,2024-09-03T11:42:35+00:00,False
128244,19522,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T18:55:43+00:00,False
128245,19522,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T15:27:23+00:00,False
131041,20794,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T15:54:42+00:00,False
131042,20794,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T15:57:39+00:00,False
1485208,83789,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-02T17:57:24+00:00,False
1485209,83789,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T14:05:45+00:00,False
127901,19524,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T13:43:02+00:00,False
127902,19524,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T13:54:13+00:00,False
63387,9729,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T16:56:24+00:00,False
63388,9729,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T18:30:46+00:00,False
132812,19744,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T17:12:12+00:00,False
132813,19744,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T18:38:07+00:00,False
127893,19516,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-02T09:59:02+00:00,False
127894,19516,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-01T22:38:54+00:00,False
138179,19749,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T16:49:26+00:00,False
138180,19749,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T13:55:45+00:00,False
71101,10550,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T16:08:57+00:00,False
71102,10550,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T11:07:31+00:00,False
132821,19741,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T17:47:31+00:00,False
132823,19741,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T12:34:58+00:00,False
68948,10287,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T11:45:44+00:00,False
68949,10287,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T14:41:39+00:00,False
128242,19521,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T17:09:21+00:00,False
128243,19521,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T16:22:26+00:00,False
89448,13419,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T14:36:49+00:00,False
89449,13419,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T17:48:22+00:00,False
63401,9843,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T08:10:51+00:00,False
63402,9843,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T08:47:05+00:00,False
90173,11427,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T11:20:30+00:00,False
90174,11427,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T14:23:33+00:00,False
127891,19515,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T12:45:14+00:00,False
127892,19515,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T16:37:47+00:00,False
121864,13442,1,CCS2_400,1.0,500,Amphenol,NoError,NoError,Available,No Error,2024-09-03T16:48:40+00:00,False
121865,13442,2,CCS2_400,4.0,500,Amphenol,NoError,NoError,Available,No Error,2024-09-03T16:48:46+00:00,False
89460,13423,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T18:45:02+00:00,False
89461,13423,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T17:58:38+00:00,False
1463166,83753,1,CCS2_400,1.0,500,,NoError,V2G_Error,Available,No Error,2024-09-03T18:18:59+00:00,False
1463167,83753,2,CCS2_400,4.0,500,,NoError,NoError,Charging,No Error,2024-09-03T20:18:46+00:00,False
114199,16943,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T20:11:05+00:00,False
114200,16943,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T15:21:12+00:00,False
63399,9842,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T13:31:25+00:00,False
63400,9842,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T11:56:55+00:00,False
1491916,83820,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T16:42:35+00:00,False
1491917,83820,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T15:52:22+00:00,False
1463186,83762,1,CCS2_400,1.0,500,,EVCommunicationError,TCP_POLLRDHUP,Finishing,TCP Error,2024-09-03T20:32:32+00:00,False
1463187,83762,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T20:30:48+00:00,False
128248,19526,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T14:11:14+00:00,False
128249,19526,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T07:32:19+00:00,False
71072,10547,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T20:23:30+00:00,False
71073,10547,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T19:47:06+00:00,False
51432,8113,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T20:22:31+00:00,False
51433,8113,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T15:02:37+00:00,False
1463430,83779,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T10:08:05+00:00,False
1463431,83779,2,CCS2_400,4.0,500,,NoError,,Available,No Error,2024-09-03T13:23:21+00:00,False
1462569,83754,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T19:39:47+00:00,False
1462570,83754,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T18:10:23+00:00,False
131047,20796,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T13:09:50+00:00,False
131048,20796,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-02T11:45:36+00:00,False
121934,9834,1,CCS2_400,1.0,500,Amphenol,NoError,NoError,Available,No Error,2024-09-03T18:21:56+00:00,False
121935,9834,2,CCS2_400,4.0,500,Amphenol,NoError,NoError,Available,No Error,2024-09-03T16:12:40+00:00,False
43862,6725,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T14:42:08+00:00,False
43863,6725,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T14:01:43+00:00,False
57007,8897,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T17:40:55+00:00,False
57008,8897,2,CCS2_400,4.0,500,,NoError,NoError,Available,No Error,2024-09-03T17:54:41+00:00,False
131017,20799,1,CCS2_400,1.0,500,,NoError,NoError,Unavailable,Connection lost.,2024-08-22T03:00:04+00:00,False
131018,20799,2,CCS2_400,4.0,500,,NoError,NoError,Unavailable,Connection lost.,2024-08-22T03:00:04+00:00,False
62500,9726,1,CCS2_400,1.0,500,,NoError,NoError,Available,No Error,2024-09-03T20:16:35+00:00,False
