connector_evse_id,station_name,station_address,station_postal_code,station_coordinates_lat,station_coordinates_lon,station_brand,totEnergy,totSessions,totCost,Potenza (kW),Station Città,Ricavi totali (€) (IVA esclusa),Tempo Totale (min),denominazione_regione,EV_percentage_per_region
IT*F2X*EF2XITD2101*2,Area di Servizio - Brianza Sud,A4 Torino - Trieste,20864,45.57406,9.3934,alpitronic GmbH,28905.111999999983,989,19640.17,300.0,Caponago,19588.75,25070.0,Lombardia,0.0767
IT*F2X*EF2XITD2102*1,Area di Servizio - Brianza Sud,A4 Torino - Trieste,20864,45.57405,9.39331,alpitronic GmbH,37808.791999999965,1442,25722.17,300.0,Caponago,36772.54,45271.0,Lombardia,0.0767
IT*F2X*EF2XITD2102*2,Area di Servizio - Brianza Sud,A4 Torino - Trieste,20864,45.57405,9.39331,alpitronic GmbH,24343.639999999996,915,16553.64,300.0,Caponago,24769.57,31332.0,Lombardia,0.0767
IT*F2X*EF2XITN6651*1,Area di Servizio - Piceno Ovest,Autostrada Adriatica,63828,43.075143,13.842842,EVTEC,1896.4180000000008,81,1043.03,62.5,Campofilone,784.13,1839.0,Marche,0.0407
IT*F2X*EF2XITN6651*2,Area di Servizio - Piceno Ovest,Autostrada Adriatica,63828,43.075143,13.842842,EVTEC,255.206,20,140.38,62.5,Campofilone,217.13,936.0,Marche,0.0407
IT*F2X*EF2XITN6651*3,Area di Servizio - Piceno Ovest,Autostrada Adriatica,63828,43.075143,13.842842,EVTEC,517.2940000000002,102,232.77,22.0,Campofilone,127.14,2551.0,Marche,0.0407
IT*F2X*EF2XITN5151*3,Area di Servizio - Esino Ovest,Autostrada Adriatica,60033,43.627101,13.333993,EVTEC,425.611,100,192.51,22.0,Chiaravalle,41.48,581.0,Marche,0.0407
IT*F2X*EF2XITN5051*1,Area di Servizio - Esino Est,Autostrada Adriatica,60033,43.626774,13.334975,EVTEC,3356.262,155,1845.9,62.5,Chiaravalle,1930.03,4687.0,Marche,0.0407
IT*F2X*EF2XITN5051*2,Area di Servizio - Esino Est,Autostrada Adriatica,60033,43.626774,13.334975,EVTEC,348.95900000000006,22,191.93,62.5,Chiaravalle,412.68,1715.0,Marche,0.0407
IT*F2X*EF2XITN5051*3,Area di Servizio - Esino Est,Autostrada Adriatica,60033,43.626774,13.334975,EVTEC,454.8170000000002,95,204.71,22.0,Chiaravalle,210.17,3501.0,Marche,0.0407
IT*F2X*EF2XITO1001*1,Area di Servizio - Torre Fantine Est,A14 - Autostrada Adriatica,71010,41.909717,15.168962,alpitronic GmbH,13861.898,430,9427.18,300.0,Chieuti,10486.46,12349.0,Puglia,0.0246
IT*F2X*EF2XITO1001*2,Area di Servizio - Torre Fantine Est,A14 - Autostrada Adriatica,71010,41.909717,15.168962,alpitronic GmbH,9597.525999999998,265,6529.73,300.0,Chieuti,7553.93,8660.0,Puglia,0.0246
IT*F2X*EF2XITO1002*1,Area di Servizio - Torre Fantine Est,A14 - Autostrada Adriatica,71010,41.909686,15.168951,alpitronic GmbH,16673.167999999994,506,11343.04,300.0,Chieuti,14411.13,16345.0,Puglia,0.0246
IT*F2X*EF2XITO1002*2,Area di Servizio - Torre Fantine Est,A14 - Autostrada Adriatica,71010,41.909686,15.168951,alpitronic GmbH,12529.761999999986,343,8505.33,300.0,Chieuti,9460.6,10901.0,Puglia,0.0246
IT*F2X*EF2XITO1051*1,Area di Servizio - Torre Fantine Est,A14 - Autostrada Adriatica,71010,41.909717,15.168884,EVTEC,1424.2339999999997,58,783.33,62.5,Chieuti,581.17,1440.0,Puglia,0.0246
IT*F2X*EF2XITO1051*2,Area di Servizio - Torre Fantine Est,A14 - Autostrada Adriatica,71010,41.909717,15.168884,EVTEC,189.705,13,104.34,62.5,Chieuti,141.3,509.0,Puglia,0.0246
IT*F2X*EF2XITO1051*3,Area di Servizio - Torre Fantine Est,A14 - Autostrada Adriatica,71010,41.909717,15.168884,EVTEC,262.79400000000004,73,118.26,22.0,Chieuti,169.56,2667.0,Puglia,0.0246
IT*F2X*EF2XITB2101*1,Area di Servizio - Mascherone Ovest,Autostrada del Sole,60,42.123209,12.616878,alpitronic GmbH,5175.846000000001,155,3528.69,300.0,Capena,4197.8,4942.0,Lazio,0.0694
IT*F2X*EF2XITB2101*2,Area di Servizio - Mascherone Ovest,Autostrada del Sole,60,42.123209,12.616878,alpitronic GmbH,6124.949,160,4164.97,300.0,Capena,2931.32,3464.0,Lazio,0.0694
IT*F2X*EF2XITB2102*1,Area di Servizio - Mascherone Ovest,Autostrada del Sole,60,42.123278,12.616865,alpitronic GmbH,12660.554999999988,374,8559.52,300.0,Capena,8660.86,9973.0,Lazio,0.0694
IT*F2X*EF2XITA8551*1,Area di Servizio - Fabro Est,A1 - Autostrada del Sole,5015,42.875865,12.019143,EVTEC,4853.090000000003,208,2675.05,62.5,Fabro,2029.12,4964.0,Umbria,0.0385
IT*F2X*EF2XITA8551*2,Area di Servizio - Fabro Est,A1 - Autostrada del Sole,5015,42.875865,12.019143,EVTEC,522.28,30,287.25,62.5,Fabro,285.67,1075.0,Umbria,0.0385
IT*F2X*EF2XITA8551*3,Area di Servizio - Fabro Est,A1 - Autostrada del Sole,5015,42.875865,12.019143,EVTEC,925.0879999999996,185,416.31,22.0,Fabro,405.57,7241.0,Umbria,0.0385
IT*F2X*EF2XITB2151*1,Area di Servizio - Mascherone Ovest,Autostrada del Sole,60,42.123164,12.616923,EVTEC,949.48,41,522.22,62.5,Capena,263.4,688.0,Lazio,0.0694
IT*F2X*EF2XITB2151*2,Area di Servizio - Mascherone Ovest,Autostrada del Sole,60,42.123164,12.616923,EVTEC,165.56199999999998,12,91.05,62.5,Capena,121.42,465.0,Lazio,0.0694
IT*F2X*EF2XITB2151*3,Area di Servizio - Mascherone Ovest,Autostrada del Sole,60,42.123164,12.616923,EVTEC,411.0650000000001,70,184.97,22.0,Capena,141.25,2145.0,Lazio,0.0694
IT*F2X*EF2XITX2001*1,Area di Servizio - Stura Est,A26 - Autostrada dei Trafori,15070,44.591343,8.665681,alpitronic GmbH,34418.170000000006,1183,23415.51,300.0,Belforte Monferrato,21226.69,26964.0,Piemonte,0.0732
IT*F2X*EF2XITX2001*2,Area di Servizio - Stura Est,A26 - Autostrada dei Trafori,15070,44.591343,8.665681,alpitronic GmbH,34471.18000000003,1072,23453.58,300.0,Belforte Monferrato,18276.09,23471.0,Piemonte,0.0732
IT*F2X*EF2XITX2002*1,Area di Servizio - Stura Est,A26 - Autostrada dei Trafori,15070,44.59141,8.665706,alpitronic GmbH,24996.870000000003,874,17004.44,300.0,Belforte Monferrato,12956.94,17086.0,Piemonte,0.0732
IT*F2X*EF2XITX2002*2,Area di Servizio - Stura Est,A26 - Autostrada dei Trafori,15070,44.59141,8.665706,alpitronic GmbH,36225.00399999997,1220,24669.6,300.0,Belforte Monferrato,20556.33,26535.0,Piemonte,0.0732
IT*F2X*EF2XITH3101*1,Area di Servizio - Brughiera Ovest,Autostrada dei laghi,21040,45.762983,8.809624,alpitronic GmbH,14600.953999999994,558,9983.48,300.0,Cascine Maggio,10584.13,14756.0,Lombardia,0.0767
IT*F2X*EF2XITH3101*2,Area di Servizio - Brughiera Ovest,Autostrada dei laghi,21040,45.762983,8.809624,alpitronic GmbH,18666.324000000015,708,12713.5,300.0,Cascine Maggio,11761.71,15391.0,Lombardia,0.0767
IT*F2X*EF2XITH3102*1,Area di Servizio - Brughiera Ovest,Autostrada dei laghi,21040,45.762915,8.809618,alpitronic GmbH,36696.95600000003,1405,24958.96,300.0,Cascine Maggio,25007.95,32575.0,Lombardia,0.0767
IT*F2X*EF2XITH3102*2,Area di Servizio - Brughiera Ovest,Autostrada dei laghi,21040,45.762915,8.809618,alpitronic GmbH,17598.476000000006,571,11966.58,300.0,Cascine Maggio,9096.21,12337.0,Lombardia,0.0767
IT*F2X*EF2XITA3501*1,Area di Servizio - Cantagallo Est,A1 - Autostrada del Sole,40033,44.456656,11.280327,alpitronic GmbH,12034.092999999992,348,8171.44,,,,,Emilia-Romagna,0.0661
IT*F2X*EF2XITA3501*2,Area di Servizio - Cantagallo Est,A1 - Autostrada del Sole,40033,44.456656,11.280327,alpitronic GmbH,14745.264,383,10025.62,,,,,Emilia-Romagna,0.0661
IT*F2X*EF2XITA3502*1,Area di Servizio - Cantagallo Est,A1 - Autostrada del Sole,40033,44.4566,11.280372,alpitronic GmbH,10348.034,298,7038.59,,,,,Emilia-Romagna,0.0661
IT*F2X*EF2XITA3502*2,Area di Servizio - Cantagallo Est,A1 - Autostrada del Sole,40033,44.4566,11.280372,alpitronic GmbH,15753.136,420,10731.55,,,,,Emilia-Romagna,0.0661
