chargerId,gpsLat,gpsLong,serialNumber,status,statusText
9008,45.57416179644078,9.392527994720972,22BZ0556B,Available,
9010,45.32151,9.37723,22BZ0558B,Available,
10288,45.76237,8.81087,22BZ0562B,Available,
9838,45.729051,9.028446,22BZ0658B,Available,
9839,45.7293,9.02912,22BZ0659B,Charging,
9835,45.5738853,9.392548999999999,22BZ0662B,Available,
9834,44.962917870900945,9.906272294036722,22BZ0664B,Available,
9921,45.76298,8.80962,22BZ0666B,Charging,
9922,45.4616799,9.2765061,22BZ0667B,Available,
9841,45.32147,9.37718,22BZ0668B,Available,
9842,45.72983940534127,9.02800875314488,22BZ0669B,Available,
9920,45.46226590000001,9.2378661,22BZ0671B,Available,
9844,45.773998,9.04934,22BZ0673B,Available,
10545,45.461887776561866,9.2763829988045,22BZ0686B,Available,
10583,45.76241,8.81087,22BZ1156B,Available,
10584,45.76292,8.80962,22BZ1158B,Available,
12613,45.53250080821757,10.148404368913836,22BZ2232B,Available,
12615,45.4616799,9.2765061,22BZ2234B,Available,
12616,45.4616799,9.2765061,22BZ2235B,Available,
12617,45.53245626526257,10.148463121581308,22BZ2236B,Available,
12618,45.53256573064744,10.151177887472565,22BZ2237B,Faulted,
11457,45.5322914,10.1514359,22BZ2239B,Available,
13441,44.96296017659537,9.906183880356323,22BZ3001B,Available,
13446,45.14231059784972,9.632817601064309,22BZ3018B,Available,
17815,45.142907671285826,9.634451384519403,22BZ5316B,Available,
17814,45.6274098,8.7121458,22BZ5317B,Charging,
17813,45.62475539738236,8.712067013491533,22BZ5318B,Charging,
16933,44.589635,8.664777,22BZ6968B,Available,
16939,44.874039,8.833501,22BZ6974B,Available,
16941,45.142907671285826,9.634451384519403,22BZ6976B,Available,
16944,44.6763717,8.6581214,22BZ6979B,Available,Client Modem connected
16946,44.59141,8.665706,22BZ6981B,Available,
16948,45.613064,8.720427,22BZ6983B,Available,
16949,45.14232079789667,9.632879063429876,22BZ6984B,Available,
16950,44.609688,8.661311,22BZ6985B,Available,
19749,45.559134,9.039494,23BZ0050B,Available,
19748,45.548589,9.210064,23BZ0051B,Available,
19746,45.5756,9.0086,23BZ0053B,Available,
19741,45.55895321501664,9.042345936402977,23BZ0058B,Available,
19529,44.60469302341558,8.953060110443314,23BZ1043B,Available,
20807,45.633854267288555,9.600788152862714,23BZ1503B,Available,Door Opened
20805,45.633854267288555,9.600788152862714,23BZ1504B,Available,
20804,45.517027,9.147218,23BZ1505B,Available,
20795,44.60469167309025,8.953054420619305,23BZ1514B,Available,Client Modem connected
20793,45.517027,9.147218,23BZ1516B,Available,
20792,45.55872953594708,9.039780726784565,23BZ1517B,Available,
83754,44.5996,8.6657,24BZ1694B,Available,
